Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases
1/3/2020,DE,Germany,EURO,0,0
1/4/2020,DE,Germany,EURO,1,1
1/5/2020,DE,Germany,EURO,0,1
1/6/2020,DE,Germany,EURO,0,1
1/7/2020,DE,Germany,EURO,0,1
1/8/2020,DE,Germany,EURO,0,1
1/9/2020,DE,Germany,EURO,0,1
1/10/2020,DE,Germany,EURO,0,1
1/11/2020,DE,Germany,EURO,0,1
1/12/2020,DE,Germany,EURO,0,1
1/13/2020,DE,Germany,EURO,0,1
1/14/2020,DE,Germany,EURO,0,1
1/15/2020,DE,Germany,EURO,0,1
1/16/2020,DE,Germany,EURO,0,1
1/17/2020,DE,Germany,EURO,0,1
1/18/2020,DE,Germany,EURO,0,1
1/19/2020,DE,Germany,EURO,0,1
1/20/2020,DE,Germany,EURO,0,1
1/21/2020,DE,Germany,EURO,0,1
1/22/2020,DE,Germany,EURO,0,1
1/23/2020,DE,Germany,EURO,0,1
1/24/2020,DE,Germany,EURO,1,2
1/25/2020,DE,Germany,EURO,0,2
1/26/2020,DE,Germany,EURO,0,2
1/27/2020,DE,Germany,EURO,0,2
1/28/2020,DE,Germany,EURO,0,2
1/29/2020,DE,Germany,EURO,2,4
1/30/2020,DE,Germany,EURO,2,6
1/31/2020,DE,Germany,EURO,0,6
2/1/2020,DE,Germany,EURO,4,10
2/2/2020,DE,Germany,EURO,1,11
2/3/2020,DE,Germany,EURO,0,11
2/4/2020,DE,Germany,EURO,1,12
2/5/2020,DE,Germany,EURO,4,16
2/6/2020,DE,Germany,EURO,2,18
2/7/2020,DE,Germany,EURO,1,19
2/8/2020,DE,Germany,EURO,1,20
2/9/2020,DE,Germany,EURO,0,20
2/10/2020,DE,Germany,EURO,0,20
2/11/2020,DE,Germany,EURO,1,21
2/12/2020,DE,Germany,EURO,2,23
2/13/2020,DE,Germany,EURO,1,24
2/14/2020,DE,Germany,EURO,0,24
2/15/2020,DE,Germany,EURO,0,24
2/16/2020,DE,Germany,EURO,1,25
2/17/2020,DE,Germany,EURO,0,25
2/18/2020,DE,Germany,EURO,2,27
2/19/2020,DE,Germany,EURO,1,28
2/20/2020,DE,Germany,EURO,1,29
2/21/2020,DE,Germany,EURO,2,31
2/22/2020,DE,Germany,EURO,0,31
2/23/2020,DE,Germany,EURO,0,31
2/24/2020,DE,Germany,EURO,0,31
2/25/2020,DE,Germany,EURO,1,32
2/26/2020,DE,Germany,EURO,3,35
2/27/2020,DE,Germany,EURO,8,43
2/28/2020,DE,Germany,EURO,24,67
2/29/2020,DE,Germany,EURO,45,112
3/1/2020,DE,Germany,EURO,23,135
3/2/2020,DE,Germany,EURO,35,170
3/3/2020,DE,Germany,EURO,43,213
3/4/2020,DE,Germany,EURO,84,297
3/5/2020,DE,Germany,EURO,157,454
